job;marital;education;default;housing;loan;contact;month;poutcome;Fac-age;Fac-balance;Fac-duration;Fac-campaign;Fac-pday;Fac-pervious;y
services;married;secondary;no;yes;no;cellular;apr;unknown;mid;rich;overtime;repeat;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
unemployed;married;tertiary;no;no;no;unknown;may;unknown;mid;normal;overtime;try-harder;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
student;single;secondary;no;no;no;unknown;aug;unknown;young;normal;short;new;new;new;no
entrepreneur;married;tertiary;no;yes;no;cellular;feb;unknown;mid;normal;normal;new;new;new;no
admin.;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;overtime;new;new;new;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;rich;short;try-harder;new;new;no
entrepreneur;married;secondary;no;yes;yes;cellular;may;failure;mid;normal;long;new;old;old;no
technician;married;secondary;no;no;yes;cellular;feb;other;mid;normal;short;repeat;old;old;no
services;married;secondary;no;no;yes;unknown;jul;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;yes
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;tertiary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
self-employed;married;tertiary;no;yes;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
services;divorced;secondary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;secondary;no;yes;no;cellular;may;failure;young;normal;long;new;old;old;no
admin.;married;unknown;no;no;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
management;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;new;new;new;no
services;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;married;tertiary;no;yes;no;cellular;jan;failure;mid;normal;normal;new;old;old;no
management;divorced;tertiary;no;no;no;unknown;jun;unknown;mid;rich;short;repeat;new;new;no
management;divorced;tertiary;no;yes;no;unknown;jun;unknown;mid;rich;short;try-harder;new;new;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;normal;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;rich;normal;new;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
housemaid;divorced;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;divorced;primary;no;no;no;cellular;jul;unknown;mid;bust;normal;new;new;new;no
self-employed;single;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;short;try-harder;new;new;no
entrepreneur;married;tertiary;no;yes;no;cellular;nov;unknown;mid;rich;overtime;new;new;new;no
retired;single;primary;no;no;no;cellular;jul;unknown;mid;rich;normal;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
management;married;secondary;no;no;no;cellular;jul;unknown;mid;bust;long;repeat;new;new;no
management;single;tertiary;no;no;no;unknown;may;unknown;young;normal;short;try-harder;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;young;normal;overtime;repeat;new;new;yes
blue-collar;married;primary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
self-employed;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
admin.;single;secondary;no;yes;no;cellular;may;other;mid;normal;normal;new;old;old;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;try-harder;new;new;no
admin.;married;secondary;no;yes;yes;unknown;may;unknown;mid;rich;long;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;cellular;jul;unknown;young;normal;normal;repeat;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
technician;single;secondary;no;yes;no;cellular;jul;unknown;young;normal;long;repeat;new;new;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;other;mid;normal;overtime;try-harder;old;old;yes
services;married;secondary;no;no;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
management;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;try-harder;new;new;no
admin.;single;tertiary;no;yes;no;cellular;may;failure;mid;normal;short;new;old;old;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;rich;long;new;new;new;no
services;married;tertiary;no;yes;no;unknown;may;unknown;young;normal;long;new;new;new;no
unemployed;married;secondary;no;no;no;cellular;jan;unknown;young;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;oct;unknown;young;normal;long;repeat;new;new;no
management;married;secondary;no;no;no;cellular;feb;unknown;mid;normal;long;new;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;jan;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
services;single;secondary;no;yes;yes;cellular;jan;failure;young;normal;long;try-harder;old;old;no
entrepreneur;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;overtime;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;single;secondary;no;yes;yes;unknown;jun;unknown;young;bust;normal;new;new;new;no
technician;married;secondary;no;yes;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
unknown;married;unknown;no;no;no;unknown;jun;unknown;mid;normal;short;new;new;new;no
admin.;married;secondary;no;no;no;unknown;sep;unknown;mid;normal;short;new;new;new;no
management;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
management;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
services;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
student;single;secondary;no;no;no;cellular;feb;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;primary;no;yes;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
services;single;secondary;no;yes;no;cellular;feb;failure;mid;normal;short;try-harder;old;old;no
blue-collar;married;primary;no;no;no;cellular;jan;unknown;mid;normal;long;repeat;new;new;no
services;divorced;secondary;no;yes;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
management;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
management;divorced;tertiary;no;no;yes;cellular;jun;unknown;mid;normal;short;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;short;try-harder;new;new;no
admin.;divorced;secondary;no;yes;no;cellular;nov;other;mid;normal;overtime;new;old;old;no
services;single;secondary;no;no;no;cellular;jul;unknown;young;normal;long;try-harder;new;new;no
management;single;unknown;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
entrepreneur;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;single;secondary;no;yes;no;cellular;aug;unknown;mid;bust;overtime;try-harder;new;new;yes
management;divorced;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
services;single;secondary;no;yes;no;cellular;nov;success;mid;rich;overtime;repeat;old;old;yes
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;young;normal;long;new;new;new;no
blue-collar;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
unemployed;single;secondary;no;no;no;cellular;jan;unknown;young;normal;overtime;repeat;new;new;yes
services;married;secondary;no;yes;no;unknown;jun;unknown;mid;normal;overtime;new;new;new;yes
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;telephone;jul;unknown;mid;normal;normal;try-harder;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
technician;single;secondary;no;yes;no;cellular;may;success;mid;rich;long;new;old;old;no
unemployed;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;no;yes;cellular;jul;unknown;young;normal;long;new;new;new;no
student;single;secondary;no;yes;no;cellular;nov;unknown;mid;normal;overtime;new;new;new;no
management;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
services;married;secondary;no;yes;yes;cellular;jul;unknown;mid;rich;normal;repeat;new;new;no
technician;married;tertiary;no;yes;no;unknown;may;unknown;mid;rich;short;new;new;new;no
blue-collar;married;primary;no;yes;no;telephone;jul;unknown;mid;normal;short;try-harder;new;new;no
admin.;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
technician;married;tertiary;no;no;yes;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
retired;single;secondary;no;no;yes;unknown;may;unknown;young;normal;long;repeat;new;new;no
management;divorced;tertiary;no;no;yes;cellular;jul;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;normal;new;new;new;no
entrepreneur;married;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
unknown;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;failure;mid;normal;long;new;old;old;no
blue-collar;single;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;try-harder;new;new;no
entrepreneur;married;secondary;yes;no;yes;cellular;jul;unknown;mid;bust;long;try-harder;new;new;no
retired;married;secondary;no;no;no;cellular;apr;unknown;old;normal;long;repeat;new;new;no
self-employed;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;yes;no;telephone;may;unknown;mid;normal;normal;repeat;new;new;no
management;married;primary;no;yes;no;telephone;nov;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;yes;no;telephone;feb;unknown;mid;normal;short;repeat;new;new;no
entrepreneur;married;primary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;jul;failure;mid;normal;normal;repeat;old;old;no
services;married;secondary;no;yes;no;telephone;may;unknown;mid;rich;overtime;repeat;new;new;no
services;married;primary;no;no;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;no;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
housemaid;single;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;new;new;new;no
technician;divorced;secondary;no;yes;no;cellular;nov;unknown;mid;normal;overtime;repeat;new;new;no
housemaid;married;primary;no;no;yes;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;short;try-harder;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
management;single;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;oct;unknown;old;normal;normal;repeat;new;new;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;single;secondary;yes;no;yes;cellular;nov;unknown;mid;bust;overtime;new;new;new;yes
self-employed;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;oct;unknown;mid;rich;overtime;repeat;new;new;yes
blue-collar;married;primary;no;yes;no;cellular;jul;unknown;mid;rich;overtime;repeat;new;new;no
entrepreneur;single;secondary;no;no;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
unemployed;married;secondary;no;yes;yes;cellular;feb;unknown;mid;rich;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;new;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;young;normal;long;new;new;new;no
student;single;secondary;no;no;no;cellular;nov;failure;young;normal;normal;new;old;old;no
technician;married;secondary;no;no;yes;cellular;nov;failure;mid;normal;long;repeat;old;old;no
unemployed;married;secondary;no;no;no;cellular;jul;failure;mid;normal;long;repeat;old;old;yes
technician;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
retired;married;primary;no;no;no;cellular;oct;failure;old;normal;overtime;new;old;old;yes
admin.;single;secondary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;other;mid;normal;overtime;repeat;old;old;yes
admin.;single;secondary;no;yes;no;cellular;apr;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;yes;yes;cellular;apr;failure;mid;normal;overtime;new;old;old;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;young;normal;long;repeat;new;new;no
technician;divorced;tertiary;no;yes;no;cellular;jun;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;apr;unknown;young;normal;long;new;new;new;no
management;married;secondary;no;yes;no;cellular;jul;failure;mid;normal;long;repeat;old;old;yes
housemaid;married;tertiary;no;yes;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;failure;mid;bust;long;repeat;old;old;no
blue-collar;married;primary;no;no;no;cellular;jan;failure;mid;normal;normal;repeat;old;old;no
student;single;tertiary;no;no;no;cellular;sep;unknown;young;normal;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;dec;success;mid;normal;long;repeat;old;old;yes
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;oct;unknown;mid;rich;normal;new;new;new;no
management;divorced;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
management;married;tertiary;no;yes;yes;cellular;jul;unknown;young;normal;long;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;oct;unknown;mid;normal;long;repeat;new;new;no
unemployed;married;secondary;no;no;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
technician;married;primary;no;yes;no;unknown;may;unknown;mid;rich;long;repeat;new;new;no
unemployed;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;yes;telephone;aug;unknown;mid;normal;long;try-harder;new;new;no
housemaid;married;primary;no;no;no;telephone;feb;unknown;mid;normal;long;new;new;new;no
blue-collar;single;primary;no;yes;no;cellular;jan;failure;young;normal;long;new;old;old;no
services;single;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
services;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;single;unknown;no;no;no;unknown;jun;unknown;mid;rich;overtime;new;new;new;no
technician;single;tertiary;no;yes;no;unknown;may;unknown;young;normal;overtime;new;new;new;yes
unemployed;single;primary;no;no;no;unknown;jun;unknown;mid;rich;long;new;new;new;no
self-employed;married;secondary;no;no;no;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;apr;unknown;mid;bust;long;new;new;new;no
admin.;single;secondary;no;yes;no;unknown;jun;unknown;young;normal;overtime;new;new;new;no
retired;married;primary;no;yes;yes;cellular;jul;unknown;mid;normal;long;new;new;new;no
technician;married;tertiary;no;yes;no;cellular;feb;unknown;mid;normal;overtime;repeat;new;new;no
student;single;secondary;no;no;no;cellular;nov;other;young;rich;overtime;repeat;old;old;yes
admin.;married;secondary;no;yes;no;cellular;nov;unknown;mid;normal;normal;new;new;new;no
technician;married;tertiary;no;yes;no;cellular;jul;unknown;mid;bust;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;nov;failure;mid;normal;long;repeat;old;old;no
admin.;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;no;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
unknown;married;primary;no;no;no;cellular;oct;unknown;mid;normal;overtime;repeat;new;new;yes
admin.;divorced;secondary;no;no;no;cellular;jul;failure;mid;normal;normal;repeat;old;old;no
technician;married;secondary;no;yes;yes;cellular;aug;unknown;mid;bust;long;repeat;new;new;no
admin.;divorced;secondary;no;no;yes;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;yes
management;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
housemaid;married;secondary;no;no;no;cellular;sep;unknown;old;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
self-employed;single;tertiary;no;no;no;cellular;may;unknown;young;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;bust;normal;new;new;new;no
unknown;married;unknown;no;no;no;cellular;jul;failure;mid;normal;overtime;new;old;old;yes
unknown;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;normal;overtime;try-harder;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
retired;married;primary;no;no;yes;cellular;may;unknown;mid;bust;normal;new;new;new;no
admin.;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
retired;married;primary;no;no;no;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;divorced;secondary;no;no;yes;cellular;jul;unknown;mid;normal;normal;new;new;new;no
self-employed;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;yes;no;cellular;jan;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;no;no;no;telephone;feb;unknown;mid;rich;overtime;repeat;new;new;yes
student;single;tertiary;no;no;no;cellular;feb;unknown;mid;normal;normal;repeat;new;new;no
retired;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;short;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;jan;unknown;mid;normal;normal;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;normal;try-harder;new;new;no
management;divorced;tertiary;no;no;yes;cellular;jul;unknown;mid;bust;long;try-harder;new;new;no
admin.;married;secondary;yes;yes;no;cellular;jul;unknown;young;bust;long;repeat;new;new;no
unemployed;single;secondary;no;yes;no;cellular;jul;unknown;mid;rich;long;try-harder;new;new;no
student;married;unknown;no;no;no;telephone;jul;unknown;mid;bust;short;try-harder;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
retired;divorced;secondary;yes;no;yes;unknown;jun;unknown;mid;bust;long;new;new;new;no
retired;married;primary;no;no;no;cellular;apr;unknown;old;rich;long;new;new;new;no
housemaid;married;primary;no;no;yes;unknown;jun;unknown;mid;normal;overtime;new;new;new;yes
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
technician;single;unknown;no;yes;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;married;unknown;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;single;tertiary;yes;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;divorced;tertiary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
unemployed;married;secondary;no;yes;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
blue-collar;divorced;secondary;no;no;no;cellular;may;unknown;mid;rich;short;new;new;new;no
management;divorced;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;failure;mid;normal;normal;repeat;old;old;no
blue-collar;married;unknown;no;no;no;cellular;jan;other;mid;normal;long;new;old;old;no
management;single;tertiary;no;yes;no;cellular;apr;unknown;mid;normal;normal;repeat;new;new;no
services;single;secondary;no;yes;yes;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;no;no;unknown;nov;failure;mid;rich;long;new;old;old;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;short;repeat;new;new;no
retired;married;unknown;no;no;no;telephone;may;unknown;old;normal;normal;repeat;new;new;no
unemployed;divorced;secondary;no;yes;no;telephone;feb;unknown;mid;normal;short;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;normal;repeat;new;new;no
housemaid;married;primary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
student;single;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
entrepreneur;divorced;primary;no;no;no;cellular;jan;failure;mid;normal;short;repeat;old;old;no
blue-collar;married;primary;no;yes;no;cellular;jul;unknown;young;rich;long;repeat;new;new;no
management;married;secondary;no;yes;no;unknown;jun;unknown;mid;bust;long;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;nov;success;mid;normal;long;new;old;old;yes
management;married;tertiary;no;yes;no;cellular;nov;other;mid;rich;long;repeat;old;old;yes
self-employed;married;unknown;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
admin.;single;secondary;no;yes;no;cellular;nov;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;no;yes;cellular;feb;unknown;mid;normal;long;new;new;new;no
admin.;divorced;primary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
management;single;secondary;no;yes;yes;unknown;may;unknown;mid;bust;long;repeat;new;new;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
management;married;secondary;no;yes;no;cellular;jul;unknown;old;normal;long;new;new;new;no
blue-collar;married;unknown;no;yes;no;cellular;may;unknown;mid;normal;short;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;yes;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
management;divorced;secondary;no;no;no;cellular;nov;unknown;mid;bust;short;repeat;new;new;no
services;married;secondary;no;yes;no;unknown;jun;unknown;young;bust;short;try-harder;new;new;no
management;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;overtime;new;new;new;yes
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
unemployed;married;tertiary;no;no;no;cellular;may;failure;mid;normal;long;new;old;old;no
admin.;divorced;secondary;no;yes;no;cellular;may;failure;mid;normal;overtime;new;old;old;yes
technician;divorced;secondary;no;yes;no;cellular;may;unknown;mid;bust;normal;try-harder;new;new;no
retired;married;primary;no;no;no;cellular;apr;unknown;old;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
admin.;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;short;try-harder;new;new;no
admin.;divorced;secondary;no;no;no;cellular;nov;unknown;mid;rich;overtime;new;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;failure;mid;normal;normal;new;old;old;no
technician;divorced;secondary;no;yes;yes;cellular;jul;unknown;mid;bust;long;new;new;new;no
blue-collar;single;unknown;no;yes;no;cellular;may;unknown;young;normal;long;new;new;new;no
student;married;unknown;no;no;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
retired;married;secondary;no;no;no;cellular;oct;unknown;old;rich;long;new;new;new;yes
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;try-harder;new;new;no
technician;married;secondary;no;no;no;unknown;may;unknown;mid;normal;short;new;new;new;no
blue-collar;married;secondary;no;no;no;cellular;apr;unknown;young;rich;long;new;new;new;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;young;normal;normal;try-harder;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;young;normal;normal;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
services;single;secondary;no;no;yes;cellular;feb;unknown;mid;normal;normal;new;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;jan;success;mid;rich;long;try-harder;old;old;yes
management;married;tertiary;no;no;no;cellular;apr;unknown;mid;rich;long;new;new;new;no
management;married;primary;no;no;no;unknown;jun;unknown;old;rich;long;new;new;new;no
blue-collar;single;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;divorced;tertiary;no;yes;yes;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;yes;cellular;jul;unknown;mid;rich;overtime;try-harder;new;new;no
